模型ID,平台/提供商,输入价格（元/百万Tokens）,输出价格（元/百万Tokens）,备注
DeepSeek-V3.2,302.ai,2.03,3.01,302.ai代理价
DeepSeek-R1-0528,302.ai,4.20,16.10,302.ai代理价
deepseek-v4-flash,DeepSeek官方,1.00,2.00,缓存命中0.02元
deepseek-v4-pro,DeepSeek官方,3.00,6.00,缓存命中0.025元
qwen3.6-plus,302.ai,2.10,12.60,302.ai代理价
qwen3.7-max,302.ai,12.60,37.10,302.ai代理价
qwen3.5-plus,302.ai,0.84,4.83,302.ai代理价
minimax-m2.5,302.ai,2.10,8.40,302.ai代理价
minimax-m2.7,302.ai,2.10,8.40,302.ai代理价
minimax-m3,302.ai,4.20,16.80,302.ai代理价
hy3-preview (0-16K),腾讯官方,1.20,4.00,阶梯价:缓存命中0.4元
hy3-preview (16K-32K),腾讯官方,1.60,6.40,阶梯价:缓存命中0.6元
hy3-preview (32K+),腾讯官方,2.00,8.00,阶梯价:缓存命中0.8元
gpt-5.4-mini,302.ai,5.25,31.50,302.ai代理价
gpt-5.4-nano,302.ai,1.40,8.75,302.ai代理价
gemini-3.1-flash-lite,302.ai,1.75,10.50,302.ai代理价
gemini-3.5-flash,302.ai,10.50,63.00,302.ai代理价
GLM-5,302.ai,4.20,18.20,302.ai代理价
GLM-5.1,302.ai,9.80,30.80,302.ai代理价
GLM-4.7,302.ai,2.002,7.994,302.ai代理价
kimi-k2.6,302.ai,6.65,28.00,302.ai代理价
kimi-k2.5,302.ai,4.389,23.10,302.ai代理价
